Algorithme,Accuracy,Precision,Recall,F1-Score,Temps (s),Exemples
Decision Tree,0.996,0.9828947368421053,0.9907161803713528,0.9867899603698811,0.47324538230895996,20000
Random Forest,0.9984,0.9973333333333333,0.9920424403183024,0.9946808510638298,0.965125322341919,20000
SVM,0.9388,0.7204724409448819,0.9708222811671088,0.8271186440677966,5.903158664703369,20000
